timestamp,class,precision,recall,f1score,accuracy
1766144553.779968,0,1.0,1.0,1.0,1.0
1766144555.07394,0,1.0,1.0,1.0,1.0
1766144556.457289,0,1.0,1.0,1.0,1.0
1766144557.76316,0,1.0,1.0,1.0,1.0
1766144559.102668,0,1.0,1.0,1.0,1.0
1766144560.333034,0,1.0,1.0,1.0,1.0
1766144561.527292,0,1.0,1.0,1.0,1.0
1766144562.787834,0,1.0,1.0,1.0,1.0
1766144564.043218,0,1.0,1.0,1.0,1.0
1766144565.400127,0,1.0,1.0,1.0,1.0
1766144566.716041,0,1.0,1.0,1.0,1.0
1766144567.997846,0,1.0,1.0,1.0,1.0
1766144569.330124,0,1.0,1.0,1.0,1.0
1766144570.563817,0,1.0,1.0,1.0,1.0
1766144571.884177,0,1.0,1.0,1.0,1.0
1766144573.123153,0,1.0,1.0,1.0,1.0
1766144574.414502,0,1.0,1.0,1.0,1.0
1766144575.717637,0,1.0,1.0,1.0,1.0
1766144577.007306,0,1.0,1.0,1.0,1.0
1766144578.346414,0,1.0,1.0,1.0,1.0
1766144579.586026,0,1.0,1.0,1.0,1.0
1766144580.835058,0,1.0,1.0,1.0,1.0
1766144582.162755,0,1.0,1.0,1.0,1.0
1766144583.488474,0,1.0,1.0,1.0,1.0
1766144584.824636,0,1.0,1.0,1.0,1.0
1766144586.095852,0,1.0,0.9999977523746162,0.9999988761860451,0.9999977523746162
1766144587.535859,0,1.0,0.9999978431006722,0.999998921549173,0.9999978431006722
1766144589.015229,0,1.0,0.9999979388774096,0.9999989694376428,0.9999979388774096
1766144590.260767,0,1.0,0.9999980212889522,0.9999990106434974,0.9999980212889522
1766144591.705428,0,1.0,0.9999980999772947,0.9999990499877449,0.9999980999772947
1766144593.140924,0,1.0,0.9999981639585055,0.9999990819784099,0.9999981639585055
1766144594.465788,0,1.0,0.9999982256431822,0.9999991128208041,0.9999982256431822
1766144595.755231,0,1.0,0.9999982764014365,0.9999991381999754,0.9999982764014365
1766144597.07334,0,1.0,0.9999966451227633,0.9999983225585678,0.9999966451227633
1766144598.317525,0,1.0,0.9999967388601501,0.9999983694274163,0.9999967388601501
1766144599.601404,0,1.0,0.9999968320495214,0.9999984160222517,0.9999968320495214
1766144600.930401,0,1.0,0.9999969261413237,0.9999984630682998,0.9999969261413237
1766144602.175385,0,1.0,0.9999970094933633,0.9999985047444458,0.9999970094933633
1766144603.384787,0,1.0,0.9999970872273463,0.999998543611552,0.9999970872273463
1766144604.602144,0,1.0,0.9999971477995987,0.9999985738977655,0.9999971477995987
1766144605.928775,0,1.0,0.9999972145564494,0.999998607276285,0.9999972145564494
1766144607.267163,0,1.0,0.9999972735551206,0.9999986367757019,0.9999972735551206
1766144608.714151,0,1.0,0.9999973063918648,0.9999986531941185,0.9999973063918648
1766144610.025459,0,1.0,0.9999973732114854,0.9999986866040178,0.9999973732114854
1766144611.261934,0,1.0,0.9999974334444011,0.9999987167205537,0.9999974334444011
1766144612.506575,0,1.0,0.9999974922667777,0.9999987461318167,0.9999974922667777
1766144613.76208,0,1.0,0.9999975470100199,0.9999987735035056,0.9999975470100199
1766144615.056212,0,1.0,0.9999975904035412,0.9999987952003191,0.9999975904035412
1766144616.417124,0,1.0,0.999997642529707,0.9999988212634641,0.999997642529707
1766144617.643184,0,1.0,0.9999976940407094,0.9999988470190253,0.9999976940407094
1766144618.961127,0,1.0,0.9999977367590502,0.9999988683782446,0.9999977367590502
1766144620.173026,0,1.0,0.9999977803944461,0.9999988901959914,0.9999977803944461
1766144621.408768,0,1.0,0.9999978184943684,0.9999989092459945,0.9999978184943684
1766144622.717713,0,1.0,0.99999784816085,0.9999989240792674,0.99999784816085
1766144624.319112,0,1.0,0.9999978931511612,0.999998946574471,0.9999978931511612
1766144625.626125,0,1.0,0.9999979404756265,0.9999989702367529,0.9999979404756265
1766144626.912489,0,1.0,0.9999979754123959,0.9999989877051733,0.9999979754123959
1766144628.173733,0,1.0,0.9999980089963499,0.9999990044971839,0.9999980089963499
1766144629.55494,0,1.0,0.99999804913545,0.9999990245667735,0.99999804913545
1766144630.934705,0,1.0,0.9999980839599184,0.9999990419790414,0.9999980839599184
1766144632.162214,0,1.0,0.9999981189040735,0.9999990594511522,0.9999981189040735
1766144633.44921,0,1.0,0.9999981446444466,0.9999990723213628,0.9999981446444466
1766144634.793727,0,1.0,0.9999981747919605,0.9999990873951473,0.9999981747919605
1766144636.05356,0,1.0,0.9999982083051328,0.9999991041517637,0.9999982083051328
1766144637.360565,0,1.0,0.9999982306748781,0.9999991153366565,0.9999982306748781
